0,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6.95,Sainsbury's
1,PINK CHERRY LIGHTS,6.75,LIDL
2, WHITE CHERRY LIGHTS,6.75,ALDI
3,"RECORD FRAME 7"" SINGLE SIZE ",2.1,LIDL
4,STRAWBERRY CERAMIC TRINKET BOX,1.25,ASDA
5,PINK DOUGHNUT TRINKET POT ,1.65,Tesco
6,SAVE THE PLANET MUG,1.25,LIDL
7,FANCY FONT HOME SWEET HOME DOORMAT,5.95,ALDI
8,CAT BOWL ,2.55,Sainsbury's
9,DOG BOWL CHASING BALL DESIGN,3.75,Tesco
10,HEART MEASURING SPOONS LARGE,1.65,ASDA
11,LUNCHBOX WITH CUTLERY FAIRY CAKES ,2.55,ASDA
12,DOOR MAT BLACK FLOCK ,5.95,Tesco
13,LOVE BUILDING BLOCK WORD,5.45,Tesco
14,HOME BUILDING BLOCK WORD,5.95,Sainsbury's
15,ASSORTED COLOUR BIRD ORNAMENT,1.69,ALDI
16, PEACE WOODEN BLOCK LETTERS,6.95,LIDL
17,CHRISTMAS CRAFT WHITE FAIRY ,1.45,LIDL
18,HEART IVORY TRELLIS LARGE,1.65,ALDI
19,HEART FILIGREE DOVE LARGE,1.65,LIDL
20,FULL ENGLISH BREAKFAST PLATE,3.39,ASDA
21,PIZZA PLATE IN BOX,3.75,ASDA
22,BLACK DINER WALL CLOCK,8.5,ASDA
23,SET OF 3 BLACK FLYING DUCKS,4.65,ALDI
24,AREA PATROLLED METAL SIGN,2.1,ALDI
25,PLEASE ONE PERSON METAL SIGN,2.1,LIDL
26,BATH BUILDING BLOCK WORD,5.95,ALDI
27,CLASSIC WHITE FRAME,2.95,Sainsbury's
28,SMALL MARSHMALLOWS PINK BOWL,1.25,ALDI
29,BISCUITS SMALL BOWL LIGHT BLUE,1.25,Sainsbury's
30,SCOTTIE DOG HOT WATER BOTTLE,4.25,ALDI
31,CHRISTMAS CRAFT HEART DECORATIONS,2.1,Sainsbury's
32,CHRISTMAS CRAFT HEART STOCKING ,2.1,LIDL
33,PARTY CONE CHRISTMAS DECORATION ,0.85,ASDA
34,PEACE SMALL WOOD LETTERS,6.75,LIDL
35,JOY LARGE WOOD LETTERS,9.95,LIDL
36,CINAMMON & ORANGE WREATH,6.75,Sainsbury's
37,EUCALYPTUS & PINECONE WREATH,6.75,LIDL
38,WOODEN BOX ADVENT CALENDAR ,8.95,LIDL
39,FLORAL BLUE MONSTER,4.25,Sainsbury's
40,RETRO COFFEE MUGS ASSORTED,1.25,ALDI
41,INFLATABLE POLITICAL GLOBE ,0.85,LIDL
42,STRIPES DESIGN MONKEY DOLL,2.55,Tesco
43,BLUE PADDED SOFT MOBILE,4.25,Tesco
44,PACK OF 6 SKULL PAPER CUPS,0.65,Tesco
45,PACK OF 20 SKULL PAPER NAPKINS,0.85,Tesco
46,HANGING HEART ZINC T-LIGHT HOLDER,0.85,LIDL
47,PINK BLUE FELT CRAFT TRINKET BOX,1.25,LIDL
48,FELTCRAFT DOLL ROSIE,2.95,Sainsbury's
49,FELTCRAFT DOLL MARIA,2.95,ASDA
50,FELTCRAFT DOLL EMILY,2.95,ALDI
51,VINTAGE SNAKES & LADDERS,3.75,LIDL
52,CHOCOLATE HOT WATER BOTTLE,4.95,ASDA
53,DINOSAURS WRITING SET ,0.98,ALDI
54,SET OF MEADOW FLOWER STICKERS,1.69,Tesco
55,CHARLIE AND LOLA CHARLOTTE BAG,1.15,ALDI
56,JUMBO BAG CHARLIE AND LOLA TOYS,2,ASDA
57,JUMBO BAG TOYS ,1.3,Sainsbury's
58,COUNTRY COTTAGE DOORSTOP GREEN,2.5,LIDL
59,GINGHAM HEART DOORSTOP RED,2.5,LIDL
60,CHARLIE+LOLA RED HOT WATER BOTTLE ,3,ALDI
61,CHARLIE LOLA BLUE HOT WATER BOTTLE ,3,ALDI
