itemID,storeID,title,price
0,2,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6.95
1,0,PINK CHERRY LIGHTS,6.75
2,1, WHITE CHERRY LIGHTS,6.75
3,0,"RECORD FRAME 7"" SINGLE SIZE ",2.1
4,0,STRAWBERRY CERAMIC TRINKET BOX,1.25
5,3,PINK DOUGHNUT TRINKET POT ,1.65
6,2,SAVE THE PLANET MUG,1.25
7,1,FANCY FONT HOME SWEET HOME DOORMAT,5.95
8,3,CAT BOWL ,2.55
9,4,"DOG BOWL , CHASING BALL DESIGN",3.75
10,1,HEART MEASURING SPOONS LARGE,1.65
11,0,LUNCHBOX WITH CUTLERY FAIRY CAKES ,2.55
12,0,DOOR MAT BLACK FLOCK ,5.95
13,1,LOVE BUILDING BLOCK WORD,5.45
14,1,HOME BUILDING BLOCK WORD,5.95
15,1,ASSORTED COLOUR BIRD ORNAMENT,1.69
16,1, PEACE WOODEN BLOCK LETTERS,6.95
17,1,CHRISTMAS CRAFT WHITE FAIRY ,1.45
18,3,HEART IVORY TRELLIS LARGE,1.65
19,2,HEART FILIGREE DOVE LARGE,1.65
20,0,FULL ENGLISH BREAKFAST PLATE,3.39
21,0,PIZZA PLATE IN BOX,3.75
22,4,BLACK DINER WALL CLOCK,8.5
23,4,SET OF 3 BLACK FLYING DUCKS,4.65
24,0,AREA PATROLLED METAL SIGN,2.1
25,0,PLEASE ONE PERSON  METAL SIGN,2.1
26,3,BATH BUILDING BLOCK WORD,5.95
27,0,CLASSIC WHITE FRAME,2.95
28,3,SMALL MARSHMALLOWS PINK BOWL,1.25
29,1,BISCUITS SMALL BOWL LIGHT BLUE,1.25
30,1,SCOTTIE DOG HOT WATER BOTTLE,4.25
31,3,CHRISTMAS CRAFT HEART DECORATIONS,2.1
32,2,CHRISTMAS CRAFT HEART STOCKING ,2.1
33,3,PARTY CONE CHRISTMAS DECORATION ,0.85
34,3,PEACE SMALL WOOD LETTERS,6.75
35,3,JOY LARGE WOOD LETTERS,9.95
36,3,CINAMMON & ORANGE WREATH,6.75
37,0,EUCALYPTUS & PINECONE  WREATH,6.75
38,4,WOODEN BOX ADVENT CALENDAR ,8.95
39,4,FLORAL BLUE MONSTER,4.25
40,2,RETRO COFFEE MUGS ASSORTED,1.25
41,1,INFLATABLE POLITICAL GLOBE ,0.85
42,0,STRIPES DESIGN MONKEY DOLL,2.55
43,0,BLUE PADDED SOFT MOBILE,4.25
44,3,PACK OF 6 SKULL PAPER CUPS,0.65
45,4,PACK OF 20 SKULL PAPER NAPKINS,0.85
46,4,HANGING HEART ZINC T-LIGHT HOLDER,0.85
47,3,PINK BLUE FELT CRAFT TRINKET BOX,1.25
48,4,FELTCRAFT DOLL ROSIE,2.95
49,3,FELTCRAFT DOLL MARIA,2.95
50,1,FELTCRAFT DOLL EMILY,2.95
51,2,VINTAGE SNAKES & LADDERS,3.75
52,2,CHOCOLATE HOT WATER BOTTLE,4.95
53,1,DINOSAURS  WRITING SET ,0.98
54,0,SET OF MEADOW  FLOWER STICKERS,1.69
55,1,CHARLIE AND LOLA CHARLOTTE BAG,1.15
56,3,JUMBO BAG CHARLIE AND LOLA TOYS,2.0
57,3,JUMBO BAG TOYS ,1.3
