userID,itemID,rating,quantity
321,838,3.0,8
260,181,4.0,6
192,652,3.0,4
288,959,4.0,12
318,131,4.0,12
200,617,5.0,1
266,382,3.0,2
279,1262,3.5,72
555,186,1.0,24
345,2122,5.0,24
89,1024,1.5,2
68,71,2.0,2
202,773,5.0,16
597,2534,3.0,12
139,2517,2.0,10
608,1111,3.0,2
480,1738,4.5,3
42,1521,3.0,6
409,188,4.0,4
108,614,4.0,200
288,2891,3.5,1
62,228,4.0,12
560,1559,4.0,1
551,141,4.5,20
428,212,2.0,24
552,3249,3.0,6
352,150,3.0,2
434,113,3.5,12
19,1118,3.0,6
82,1245,4.5,1
448,3003,3.0,6
68,1248,2.5,1
304,2318,4.0,6
555,935,5.0,12
230,554,3.0,2
153,791,4.5,3
599,833,2.0,6
288,464,3.0,2
18,970,3.0,10
274,2737,3.5,3
196,52,4.0,2
266,273,5.0,2
42,239,3.0,12
414,160,4.0,6
33,657,3.0,2
555,597,4.0,2
210,376,4.5,12
414,873,2.5,6
414,555,5.0,2
414,793,4.0,4
610,3042,4.0,3
424,1863,4.5,1
376,3068,4.0,1
554,1189,5.0,2
560,141,3.5,2
111,1682,1.5,3
352,1000,1.5,8
1,23,3.0,12
596,2732,4.0,1
6,244,3.0,2
91,4,5.0,144
470,2803,4.0,1
59,186,4.0,24
448,1569,4.0,6
90,341,4.0,12
244,96,5.0,12
372,921,4.0,6
69,112,4.0,12
489,1782,3.0,8
84,241,5.0,8
492,2276,4.0,1
105,455,3.5,1
74,814,2.5,2
263,2093,4.0,15
177,1146,3.0,12
40,369,3.0,2
380,2075,4.0,8
330,959,4.0,12
448,2075,1.5,2
264,2261,5.0,4
391,1601,2.0,12
462,2511,1.5,3
500,1043,1.0,20
219,1102,4.0,1
603,141,5.0,10
219,1744,2.5,6
68,647,4.5,3
586,821,5.0,25
474,2554,4.0,10
606,1741,4.0,2
41,32,1.0,3
232,915,4.0,2
69,518,4.0,6
13,317,4.0,5
608,112,3.0,12
232,64,3.5,6
448,2803,3.0,8
177,243,3.0,1
608,2838,1.5,5
57,1209,4.0,2
168,1630,4.5,1
608,3396,3.5,12
453,3047,2.0,3
380,3005,4.0,1
230,859,3.0,24
369,842,3.0,1
80,653,4.5,1
318,1358,2.5,1
275,1386,4.0,1
195,109,3.0,4
380,535,3.0,6
318,2941,4.5,2
599,2554,1.5,2
288,840,3.0,12
280,250,4.5,1
525,858,4.0,2
286,1597,4.0,24
57,248,4.0,1
198,991,5.0,12
287,1034,3.5,1
34,281,4.0,3
594,403,5.0,25
21,831,4.0,12
356,824,4.5,2
63,738,5.0,1
239,1522,5.0,1
562,2338,5.0,1
57,1317,5.0,1
312,142,2.0,20
219,485,2.0,2
474,1699,4.0,17
451,1999,4.0,1
62,1081,4.0,3
448,2104,2.5,2
262,2723,3.0,60
210,912,4.5,24
160,2044,1.0,3
543,794,5.0,5
448,131,3.0,18
600,19,3.0,12
560,289,4.5,1
414,1955,4.0,1
424,370,3.5,1
368,127,3.0,10
426,1578,3.5,6
606,2499,3.5,5
78,187,1.0,2
111,1984,0.5,1
413,318,2.5,5
385,539,4.0,30
111,58,5.0,1
51,1818,4.0,1
594,4,3.5,5
298,657,0.5,4
103,870,5.0,12
380,1050,4.0,2
200,761,3.5,6
600,417,3.0,4
357,983,4.0,2
86,562,4.5,1
411,1103,3.0,1
84,134,4.0,6
