itemID,storeID,title,price
0,4,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6.95
1,2,PINK CHERRY LIGHTS,6.75
2,0, WHITE CHERRY LIGHTS,6.75
3,3,"RECORD FRAME 7"" SINGLE SIZE ",2.1
4,4,STRAWBERRY CERAMIC TRINKET BOX,1.25
5,3,PINK DOUGHNUT TRINKET POT ,1.65
6,1,SAVE THE PLANET MUG,1.25
7,3,FANCY FONT HOME SWEET HOME DOORMAT,5.95
8,4,CAT BOWL ,2.55
9,1,"DOG BOWL , CHASING BALL DESIGN",3.75
10,3,HEART MEASURING SPOONS LARGE,1.65
11,1,LUNCHBOX WITH CUTLERY FAIRY CAKES ,2.55
12,2,DOOR MAT BLACK FLOCK ,5.95
13,2,LOVE BUILDING BLOCK WORD,5.45
14,0,HOME BUILDING BLOCK WORD,5.95
15,3,ASSORTED COLOUR BIRD ORNAMENT,1.69
16,4, PEACE WOODEN BLOCK LETTERS,6.95
17,3,CHRISTMAS CRAFT WHITE FAIRY ,1.45
18,1,HEART IVORY TRELLIS LARGE,1.65
19,4,HEART FILIGREE DOVE LARGE,1.65
20,1,FULL ENGLISH BREAKFAST PLATE,3.39
21,4,PIZZA PLATE IN BOX,3.75
22,0,BLACK DINER WALL CLOCK,8.5
23,0,SET OF 3 BLACK FLYING DUCKS,4.65
24,2,AREA PATROLLED METAL SIGN,2.1
25,2,PLEASE ONE PERSON  METAL SIGN,2.1
26,4,BATH BUILDING BLOCK WORD,5.95
27,4,CLASSIC WHITE FRAME,2.95
28,4,SMALL MARSHMALLOWS PINK BOWL,1.25
29,0,BISCUITS SMALL BOWL LIGHT BLUE,1.25
30,1,SCOTTIE DOG HOT WATER BOTTLE,4.25
31,4,CHRISTMAS CRAFT HEART DECORATIONS,2.1
32,3,CHRISTMAS CRAFT HEART STOCKING ,2.1
33,0,PARTY CONE CHRISTMAS DECORATION ,0.85
34,0,PEACE SMALL WOOD LETTERS,6.75
35,0,JOY LARGE WOOD LETTERS,9.95
36,2,CINAMMON & ORANGE WREATH,6.75
37,1,EUCALYPTUS & PINECONE  WREATH,6.75
38,3,WOODEN BOX ADVENT CALENDAR ,8.95
39,0,FLORAL BLUE MONSTER,4.25
40,0,RETRO COFFEE MUGS ASSORTED,1.25
41,0,INFLATABLE POLITICAL GLOBE ,0.85
42,4,STRIPES DESIGN MONKEY DOLL,2.55
43,4,BLUE PADDED SOFT MOBILE,4.25
44,1,PACK OF 6 SKULL PAPER CUPS,0.65
45,4,PACK OF 20 SKULL PAPER NAPKINS,0.85
46,2,HANGING HEART ZINC T-LIGHT HOLDER,0.85
47,0,PINK BLUE FELT CRAFT TRINKET BOX,1.25
48,4,FELTCRAFT DOLL ROSIE,2.95
49,3,FELTCRAFT DOLL MARIA,2.95
50,2,FELTCRAFT DOLL EMILY,2.95
51,2,VINTAGE SNAKES & LADDERS,3.75
52,0,SCOTTIE DOG HOT WATER BOTTLE,4.95
53,3,CHOCOLATE HOT WATER BOTTLE,4.95
54,1,DINOSAURS  WRITING SET ,0.98
55,0,SET OF MEADOW  FLOWER STICKERS,1.69
56,3,CHARLIE AND LOLA CHARLOTTE BAG,1.15
57,1,JUMBO BAG CHARLIE AND LOLA TOYS,2.0
58,0,JUMBO BAG TOYS ,1.3
59,2,COUNTRY COTTAGE  DOORSTOP GREEN,2.5
60,4,GINGHAM HEART  DOORSTOP RED,2.5
61,1,CHARLIE+LOLA RED HOT WATER BOTTLE ,3.0
62,1,CHARLIE LOLA BLUE HOT WATER BOTTLE ,3.0
63,0,CHARLIE+LOLA PINK HOT WATER BOTTLE,1.9
64,4,CHARLIE + LOLA RED HOT WATER BOTTLE,1.9
65,2,TOMATO CHARLIE+LOLA COASTER SET,2.15
66,4,CARROT CHARLIE+LOLA COASTER SET,2.4
67,2,CHARLIE + LOLA BISCUITS TINS,6.38
68,0,CHARLIE AND LOLA FIGURES TINS,6.4
69,1,CHARLIE & LOLA WASTEPAPER BIN BLUE,2.4
70,3,CHARLIE & LOLA WASTEPAPER BIN FLORA,2.4
71,2,CHRISTMAS PUDDING TRINKET POT ,1.45
72,4,BAKING SET 9 PIECE RETROSPOT ,4.95
73,3,RETRO SPOT TEA SET CERAMIC 11 PC ,4.95
74,3,LUNCHBOX WITH CUTLERY RETROSPOT ,2.55
75,4,BLACK/BLUE DOTS RUFFLED UMBRELLA,5.95
76,0,RED/WHITE DOTS RUFFLED UMBRELLA,5.95
77,4,WRAP ENGLISH ROSE ,0.42
78,2,WRAP BLUE RUSSIAN FOLKART,0.42
79,4,SET OF THREE VINTAGE GIFT WRAPS,1.95
80,0,RETRO SPORT PARTY BAG + STICKER SET,1.65
81,2,ASSORTED CAKES FRIDGE MAGNETS,0.65
82,0, VINTAGE DESIGN GIFT TAGS,0.85
83,2,PARTY CONE CHRISTMAS DECORATION ,0.85
84,2,PINK DOUGHNUT TRINKET POT ,1.65
85,3,RED TOADSTOOL LED NIGHT LIGHT,1.65
86,4,SET/3 RUSSIAN DOLL STACKING TINS,4.95
87,1,PACK 20 DOLLY PEGS,0.85
88,0,ASSORTED COLOUR MINI CASES,7.95
89,1,POSTAGE,18.0
90,4,CAT BOWL ,2.55
91,0,"DOG BOWL , CHASING BALL DESIGN",3.75
92,4,BIRD DECORATION RED SPOT,0.72
93,2,BAKING SET 9 PIECE RETROSPOT ,4.25
94,2,RED WOOLLY HOTTIE WHITE HEART.,2.95
95,1,SCOTTIE DOG HOT WATER BOTTLE,4.25
96,0,UNION JACK GUNS & ROSES  DOORMAT,6.75
97,0,SCOTTIE DOG HOT WATER BOTTLE,4.95
98,3,HEART IVORY TRELLIS LARGE,1.65
99,1,YELLOW + BROWN BEAR FELT PURSE KIT,1.25
100,3,FELTCRAFT DOLL ROSIE,2.95
101,3,FELTCRAFT DOLL MARIA,2.95
102,3,WHITE HANGING HEART T-LIGHT HOLDER,2.95
103,3,KINGS CHOICE SMALL TUBE MATCHES,1.65
104,0,KINGS CHOICE GIANT TUBE MATCHES,2.55
105,2,KINGS CHOICE CIGAR BOX MATCHES ,1.25
106,3,EMPIRE TISSUE BOX,1.25
107,0,"GREETING CARD, THE BLACK CAT",0.42
108,0,RAINY LADIES BIRTHDAY CARD,0.42
109,1,BANQUET BIRTHDAY  CARD  ,0.42
110,1,SPACE BOY BIRTHDAY CARD,0.42
111,3,RING OF ROSES BIRTHDAY CARD,0.42
112,0,BOTANICAL LAVENDER BIRTHDAY CARD,0.42
